Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG
1,Jannik Sinner[ITA],63,58-5,92.1%,71.2%,69.7%,520,10.3%,122,2.4%,6.2%,61.1%,79.6%,57.9%,61.7%,91.2%,6.0,1.7
2,Alexander Zverev[GER],82,62-20,75.6%,70.1%,68.5%,737,11.8%,194,3.1%,10.4%,70.0%,76.9%,54.2%,60.5%,89.0%,6.0,1.8
3,Carlos Alcaraz[ESP],66,54-12,81.8%,68.0%,67.9%,347,6.9%,155,3.1%,8.8%,64.8%,73.7%,57.5%,63.0%,86.5%,6.1,1.9
4,Taylor Fritz[USA],74,51-23,68.9%,70.6%,67.9%,773,13.3%,132,2.3%,6.3%,63.6%,79.3%,55.6%,59.3%,89.1%,5.9,1.7
5,Novak Djokovic[SRB],46,36-10,78.3%,68.2%,67.5%,293,8.3%,105,3.0%,8.5%,64.9%,74.7%,56.1%,61.3%,86.3%,6.2,2.0
6,Casper Ruud[NOR],66,43-23,65.2%,65.5%,65.0%,348,7.1%,148,3.0%,9.0%,66.3%,71.6%,53.5%,58.8%,81.7%,6.3,2.2
7,Jack Draper[GBR],61,43-18,70.5%,67.7%,66.4%,541,11.3%,182,3.8%,9.8%,61.4%,77.4%,52.2%,57.9%,84.7%,6.0,1.9
8,Daniil Medvedev[RUS],61,40-21,65.6%,64.8%,65.3%,427,9.0%,262,5.5%,14.3%,61.3%,74.1%,50.1%,58.4%,80.8%,6.4,2.2
9,Andrey Rublev[RUS],63,37-26,58.7%,67.0%,65.8%,515,10.3%,180,3.6%,9.4%,61.8%,76.3%,51.9%,57.3%,84.8%,6.2,2.1
10,Stefanos Tsitsipas[GRE],65,44-21,67.7%,67.5%,67.5%,412,8.1%,196,3.9%,10.2%,62.1%,75.0%,55.3%,61.6%,86.5%,6.2,2.0
11,Alex De Minaur[AUS],63,43-20,68.3%,64.3%,65.1%,261,5.6%,192,4.1%,9.0%,53.7%,73.0%,54.3%,59.6%,80.2%,6.1,2.2
12,Holger Rune[DEN],66,43-23,65.2%,65.6%,65.5%,367,7.1%,183,3.5%,9.0%,60.7%,72.8%,54.5%,59.9%,83.1%,6.3,2.2
13,Tommy Paul[USA],60,43-17,71.7%,65.4%,64.3%,345,7.0%,111,2.3%,6.0%,62.4%,71.7%,54.8%,58.3%,82.5%,6.4,2.2
14,Ben Shelton[USA],64,40-24,62.5%,69.0%,68.1%,603,10.6%,208,3.7%,11.5%,68.1%,75.6%,55.0%,62.2%,89.7%,6.3,2.0
15,Grigor Dimitrov[BUL],49,31-18,63.3%,67.5%,68.0%,373,9.8%,203,5.3%,13.0%,59.0%,78.7%,51.3%,59.0%,84.7%,6.2,2.0
16,Lorenzo Musetti[ITA],60,38-22,63.3%,64.5%,64.4%,234,4.6%,122,2.4%,6.9%,65.1%,70.9%,52.5%,56.4%,80.1%,6.3,2.2
17,Frances Tiafoe[USA],53,30-23,56.6%,66.4%,65.0%,476,9.7%,151,3.1%,7.5%,58.8%,74.6%,54.6%,59.0%,84.8%,6.5,2.2
18,Arthur Fils[FRA],62,37-25,59.7%,65.3%,65.0%,397,8.0%,193,3.9%,9.9%,61.0%,74.9%,50.2%,55.8%,81.9%,6.3,2.2
19,Felix Auger Aliassime[CAN],63,40-23,63.5%,67.3%,66.3%,568,11.9%,213,4.5%,12.6%,64.6%,76.1%,51.3%,58.7%,85.2%,6.2,2.0
20,Ugo Humbert[FRA],58,35-23,60.3%,66.8%,65.3%,430,9.3%,125,2.7%,7.1%,61.8%,74.5%,54.2%,58.3%,85.2%,6.2,2.1
21,Tomas Machac[CZE],57,35-22,61.4%,63.3%,63.2%,306,7.0%,173,3.9%,10.8%,63.5%,69.1%,53.2%,59.7%,78.9%,6.4,2.3
22,Hubert Hurkacz[POL],50,32-18,64.0%,68.1%,64.0%,610,14.8%,76,1.8%,5.0%,63.1%,76.6%,53.6%,56.4%,87.4%,6.2,2.0
23,Karen Khachanov[RUS],51,29-22,56.9%,66.2%,64.8%,349,8.6%,102,2.5%,6.9%,63.6%,74.4%,52.0%,55.8%,82.3%,6.2,2.1
24,Francisco Cerundolo[ARG],69,41-28,59.4%,62.7%,63.6%,242,4.4%,211,3.8%,10.4%,63.2%,68.9%,52.1%,58.1%,78.6%,6.6,2.5
25,Sebastian Korda[USA],39,24-15,61.5%,66.0%,64.1%,285,9.4%,70,2.3%,5.9%,60.4%,73.8%,54.1%,57.5%,83.5%,6.2,2.1
26,Alexei Popyrin[AUS],47,23-24,48.9%,65.4%,63.8%,410,11.0%,140,3.8%,10.3%,63.6%,74.9%,48.8%,54.4%,82.8%,6.4,2.2
27,Jiri Lehecka[CZE],46,30-16,65.2%,66.8%,65.1%,354,11.1%,106,3.3%,8.4%,60.6%,76.6%,51.6%,56.4%,86.0%,6.3,2.1
28,Denis Shapovalov[CAN],53,33-20,62.3%,65.8%,68.0%,413,9.8%,333,7.9%,19.6%,59.8%,76.2%,50.2%,62.5%,84.2%,6.4,2.2
29,Giovanni Mpetshi Perricard[FRA],38,22-16,57.9%,70.5%,68.0%,667,21.0%,196,6.2%,17.5%,64.6%,79.6%,54.1%,65.5%,90.0%,6.2,1.8
30,Matteo Berrettini[ITA],55,38-17,69.1%,70.6%,67.4%,578,13.9%,80,1.9%,6.3%,69.4%,78.1%,53.6%,57.2%,90.4%,6.1,1.8
31,Alejandro Tabilo[CHI],49,21-28,42.9%,63.9%,62.7%,363,8.9%,134,3.3%,8.8%,62.9%,73.3%,48.0%,52.6%,82.1%,6.6,2.4
32,Brandon Nakashima[USA],62,34-28,54.8%,68.5%,65.4%,539,11.7%,69,1.5%,4.4%,66.0%,75.0%,55.8%,58.4%,88.3%,6.2,2.0
33,Alex Michelsen[USA],66,37-29,56.1%,63.6%,63.3%,295,5.8%,149,2.9%,9.2%,68.1%,69.6%,50.8%,55.9%,79.1%,6.5,2.4
34,Tallon Griekspoor[NED],63,34-29,54.0%,66.9%,66.0%,561,10.4%,212,3.9%,11.2%,64.6%,75.1%,52.0%,58.5%,85.0%,6.4,2.1
35,Matteo Arnaldi[ITA],48,25-23,52.1%,61.7%,61.2%,326,7.9%,173,4.2%,9.7%,56.7%,70.7%,49.8%,55.1%,77.0%,6.6,2.5
36,Sebastian Baez[ARG],49,23-26,46.9%,59.8%,60.3%,102,2.5%,100,2.5%,8.7%,71.7%,63.6%,50.4%,55.2%,72.4%,6.7,2.7
37,Jordan Thompson[AUS],44,25-19,56.8%,64.0%,61.8%,305,8.9%,66,1.9%,4.8%,59.5%,72.3%,51.9%,54.5%,79.5%,6.3,2.3
38,Lorenzo Sonego[ITA],50,23-27,46.0%,66.6%,65.6%,306,7.6%,100,2.5%,7.4%,66.6%,73.8%,52.3%,56.5%,84.8%,6.3,2.1
39,Alejandro Davidovich Fokina[ESP],45,23-22,51.1%,61.7%,61.6%,199,5.2%,118,3.1%,9.3%,66.9%,66.8%,51.5%,56.7%,76.5%,6.6,2.5
40,Pedro Martinez[ESP],50,21-29,42.0%,59.1%,61.3%,92,2.5%,188,5.1%,16.8%,69.8%,64.7%,46.2%,55.5%,71.0%,6.5,2.7
41,Alexandre Muller[FRA],41,22-19,53.7%,62.0%,61.7%,137,4.1%,69,2.1%,6.1%,65.8%,68.3%,49.8%,53.0%,76.0%,6.5,2.5
42,Nuno Borges[POR],52,28-24,53.8%,63.3%,63.1%,266,6.3%,144,3.4%,9.7%,64.8%,69.7%,51.6%,57.2%,77.7%,6.5,2.4
43,Flavio Cobolli[ITA],56,29-27,51.8%,63.8%,63.7%,337,7.2%,187,4.0%,8.9%,55.5%,73.2%,52.0%,57.1%,80.7%,6.5,2.4
44,Tomas Martin Etcheverry[ARG],63,33-30,52.4%,64.5%,62.8%,415,8.2%,112,2.2%,6.2%,64.6%,72.4%,50.0%,53.3%,81.5%,6.5,2.3
45,Marcos Giron[USA],53,29-24,54.7%,63.9%,62.3%,290,6.8%,69,1.6%,4.0%,59.6%,72.6%,51.0%,53.1%,80.4%,6.4,2.3
46,Gael Monfils[FRA],43,26-17,60.5%,65.8%,65.5%,398,11.0%,196,5.4%,13.6%,60.0%,75.4%,51.2%,59.3%,83.0%,6.2,2.1
47,Nicolas Jarry[CHI],32,11-21,34.4%,65.5%,63.5%,293,11.0%,83,3.1%,8.4%,62.7%,74.0%,51.2%,55.9%,82.3%,6.4,2.2
48,Miomir Kecmanovic[SRB],57,29-28,50.9%,64.8%,64.3%,263,6.1%,111,2.6%,6.7%,62.0%,73.1%,51.4%,55.1%,80.3%,6.2,2.2
49,Jan Lennard Struff[GER],47,27-20,57.4%,65.7%,65.1%,442,11.1%,203,5.1%,12.3%,58.2%,76.1%,51.1%,58.3%,82.7%,6.4,2.2
50,Roberto Bautista Agut[ESP],43,22-21,51.2%,62.5%,63.0%,122,3.4%,101,2.8%,8.6%,67.1%,67.4%,52.5%,57.5%,78.4%,6.6,2.5
